AL 1 -86.888718 33.013458 100
AL 1 -87.878 35.0055 16000
AL 1 -87.8777 35.0055 0.12207
AL 1 -87.8726 35.0056 0.244141
AL 1 -87.8535 35.0055 0.244141
AL 1 -87.8534 35.0056 0.0610352
AL 1 -87.8519 35.0057 0.976562
AL 1 -87.8212 35.0054 0.000953674
AL 1 -87.7736 35.0049 0.976562
AL 1 -87.7676 35.0048 0.244141
AL 1 -87.7589 35.0047 0.0610352
AL 1 -87.7095 35.0041 0.12207
AL 1 -87.7023 35.0039 0.12207
AL 1 -87.7005 35.004 0.244141
AL 1 -87.6968 35.0039 0.244141
AL 1 -87.6886 35.0037 0.00190735
AL 1 -87.6714 35.0035 1.95312
AL 1 -87.6641 35.0035 0.12207
AL 1 -87.625 35.0037 0.976562
AL 1 -87.5829 35.0035 0.00762939
AL 1 -87.5826 35.0035 0.00762939
AL 1 -87.5773 35.0035 0.00762939
AL 1 -87.5364 35.0033 0.0038147
AL 1 -87.4928 35.0031 0.0038147
AL 1 -87.4432 35.0029 0.00190735
AL 1 -87.4373 35.0028 0.00190735
AL 1 -87.4286 35.0028 0.488281
AL 1 -87.4215 35.0027 0.12207
AL 1 -87.4174 35.0027 0.0610352
AL 1 -87.3913 35.0024 7.8125
AL 1 -87.3856 35.0022 0.0038147
AL 1 -87.3811 35.0021 0.244141
AL 1 -87.3593 35.0018 0.0610352
AL 1 -87.3493 35.0017 0.0152588
AL 1 -87.2992 35.0009 0.244141
AL 1 -87.27 35.0004 0.488281
AL 1 -87.2305 34.9995 0.0305176
AL 1 -87.2167 34.9991 0.0305176
AL 1 -87.2108 34.999 0.488281
AL 1 -87.1628 34.9981 0.0038147
AL 1 -87.1396 34.9976 0.0038147
AL 1 -87.1226 34.9973 0.0038147
AL 1 -87.0301 34.9955 0.000953674
AL 1 -87.0112 34.9952 0.000953674
AL 1 -87.0112 34.9952 0.488281
AL 1 -87 34.9951 0.244141
AL 1 -86.9888 34.9949 0.0038147
AL 1 -86.9744 34.9945 0.244141
AL 1 -86.9726 34.9946 0.976562
AL 1 -86.9702 34.9945 0.0610352
AL 1 -86.9671 34.9944 0.244141
AL 1 -86.9273 34.9935 0.000953674
AL 1 -86.8792 34.9924 0.000953674
AL 1 -86.8621 34.992 7.8125
AL 1 -86.8615 34.992 0.0038147
AL 1 -86.8574 34.9919 0.00190735
AL 1 -86.8498 34.9919 0.12207
AL 1 -86.8465 34.9919 0.0610352
AL 1 -86.8364 34.9918 0.244141
AL 1 -86.8207 34.9918 0.488281
AL 1 -86.8194 34.9918 0.0038147
AL 1 -86.7836 34.9919 0.244141
AL 1 -86.6776 34.9921 0.0038147
AL 1 -86.6767 34.9921 1.95312
AL 1 -86.6744 34.992 0.0610352
AL 1 -86.6709 34.992 0.0610352
AL 1 -86.6596 34.9918 0.244141
AL 1 -86.6412 34.9917 0.244141
AL 1 -86.6 34.9912 0.244141
AL 1 -86.589 34.9912 0.12207
AL 1 -86.5712 34.991 0.12207
AL 1 -86.5559 34.991 0.244141
AL 1 -86.5285 34.9907 1.95312
AL 1 -86.5234 34.9907 0.0038147
AL 1 -86.4875 34.9907 0.000953674
AL 1 -86.4875 34.9907 0.000953674
AL 1 -86.4875 34.9907 0.000953674
AL 1 -86.4875 34.9907 0.000953674
AL 1 -86.4732 34.9907 0.0038147
AL 1 -86.4678 34.9907 0.976562
AL 1 -86.4339 34.9911 0.244141
