#flight_id, longitude(deg), latitude(deg), altitude (1000 feets), time (secs)
0,-88.926053,39.936611,36.000016,42540.000000
0,-89.042212,39.857183,36.000016,42600.000000
0,-89.158220,39.777741,36.000016,42660.000000
0,-89.274075,39.698285,36.000016,42720.000000
0,-89.389777,39.618813,36.000016,42780.000000
0,-89.505324,39.539324,36.000016,42840.000000
0,-89.620714,39.459816,36.000016,42900.000000
0,-89.735944,39.380285,36.000016,42960.000000
0,-89.851011,39.300728,36.000016,43020.000000
0,-89.965910,39.221140,36.000016,43080.000000
0,-90.080631,39.141513,36.000016,43140.000000
0,-90.195163,39.061836,36.000016,43200.000000
0,-90.309480,38.982088,36.000016,43260.000000
0,-90.423520,38.902214,36.000016,43320.000000
0,-90.537130,38.822084,36.000020,43380.000000
0,-90.650784,38.742101,36.000016,43440.000000
0,-90.764304,38.662115,36.000016,43500.000000
0,-90.877691,38.582125,36.000016,43560.000000
0,-90.990943,38.502129,36.000016,43620.000000
0,-91.104061,38.422127,36.000016,43680.000000
0,-91.217046,38.342120,36.000016,43740.000000
0,-91.329898,38.262107,36.000016,43800.000000
0,-91.442616,38.182088,36.000016,43860.000000
0,-91.555202,38.102062,36.000016,43920.000000
0,-91.667654,38.022030,36.000016,43980.000000
0,-91.779973,37.941990,36.000016,44040.000000
0,-91.892160,37.861943,36.000016,44100.000000
0,-91.892160,37.861943,36.000016,44100.000000
1,-99.122714,39.284822,27.000040,31200.000000
1,-98.964576,39.286748,27.000021,31260.000000
1,-98.806432,39.288647,27.000021,31320.000000
1,-98.648285,39.290548,27.000021,31380.000000
1,-98.490133,39.292449,27.000021,31440.000000
1,-98.331976,39.294352,27.000021,31500.000000
1,-98.173816,39.296256,27.000021,31560.000000
1,-98.015651,39.298162,27.000021,31620.000000
1,-97.857482,39.300071,27.000021,31680.000000
1,-97.699308,39.301983,27.000021,31740.000000
1,-97.541131,39.303904,27.000021,31800.000000
1,-97.382934,39.304547,27.000021,31860.000000
1,-97.224733,39.304826,27.000021,31920.000000
1,-97.066532,39.305106,27.000021,31980.000000
1,-96.908330,39.305385,27.000021,32040.000000
1,-96.750127,39.305652,27.000018,32100.000000
1,-96.591926,39.305176,27.000021,32160.000000
1,-96.433727,39.304471,27.000021,32220.000000
1,-96.275529,39.303764,27.000021,32280.000000
1,-96.117336,39.302898,27.000027,32340.000000
1,-95.959162,39.300910,27.000021,32400.000000
1,-95.800993,39.298895,27.000021,32460.000000
1,-95.642829,39.296879,27.000021,32520.000000
1,-95.484669,39.294862,27.000021,32580.000000
1,-95.326514,39.292843,27.000021,32640.000000
1,-95.168364,39.290822,27.000021,32700.000000
1,-95.010218,39.288798,27.000021,32760.000000
1,-94.852077,39.286769,27.000021,32820.000000
1,-94.694271,39.288916,27.003451,32880.000000
1,-94.538466,39.310020,27.000025,32940.000000
1,-94.382656,39.331291,27.000021,33000.000000
1,-94.226800,39.352575,27.000021,33060.000000
1,-94.070900,39.373871,27.000021,33120.000000
1,-93.914956,39.395184,27.000021,33180.000000
1,-93.758969,39.416518,27.000021,33240.000000
1,-93.602940,39.437878,27.000021,33300.000000
1,-93.446872,39.459278,27.000021,33360.000000
1,-93.290777,39.480766,27.000021,33420.000000
1,-93.134213,39.500329,27.000021,33480.000000
1,-92.977439,39.519118,27.000021,33540.000000
1,-92.820625,39.537915,27.000021,33600.000000
1,-92.663769,39.556720,27.000021,33660.000000
1,-92.506873,39.575536,27.000021,33720.000000
1,-92.349936,39.594362,27.000021,33780.000000
1,-92.192959,39.613201,27.000021,33840.000000
1,-92.035943,39.632057,27.000021,33900.000000
1,-91.878887,39.650933,27.000021,33960.000000
1,-91.721795,39.669839,27.000021,34020.000000
1,-91.564670,39.688795,27.000021,34080.000000
1,-91.407264,39.706458,27.000064,34140.000000
1,-91.249229,39.720795,27.000021,34200.000000
1,-91.091166,39.735162,27.000021,34260.000000
1,-90.933337,39.751129,27.000023,34320.000000
1,-90.775638,39.768084,27.000021,34380.000000
1,-90.617903,39.785050,27.000021,34440.000000
1,-90.460131,39.802025,27.000021,34500.000000
1,-90.302321,39.819014,27.000021,34560.000000
1,-90.144476,39.836018,27.000021,34620.000000
1,-89.986594,39.853042,27.000021,34680.000000
1,-89.828679,39.870096,27.000021,34740.000000
1,-89.670736,39.887208,27.000021,34800.000000
1,-89.511722,39.892207,27.000164,34860.000000
1,-89.352203,39.889745,27.000021,34920.000000
1,-89.192691,39.887272,27.000021,34980.000000
1,-89.033186,39.884703,27.000021,35040.000000
1,-88.873691,39.882028,27.000021,35100.000000
1,-88.714202,39.879348,27.000021,35160.000000
1,-88.554720,39.876660,27.000021,35220.000000
1,-88.395255,39.873633,27.000021,35280.000000
1,-88.235808,39.870276,27.000021,35340.000000
2,-90.255187,40.159418,32.000918,36000.000000
2,-90.348383,40.048262,32.000016,36060.000000
2,-90.441412,39.937114,32.000016,36120.000000
2,-90.534281,39.825965,32.000016,36180.000000
2,-90.626992,39.714813,32.000016,36240.000000
2,-90.719545,39.603660,32.000016,36300.000000
2,-90.811941,39.492505,32.000016,36360.000000
2,-90.904180,39.381348,32.000016,36420.000000
2,-90.996262,39.270189,32.000016,36480.000000
2,-91.088189,39.159028,32.000016,36540.000000
2,-91.179961,39.047863,32.000016,36600.000000
2,-91.271578,38.936696,32.000016,36660.000000
2,-91.363040,38.825526,32.000016,36720.000000
2,-91.454348,38.714353,32.000016,36780.000000
2,-91.545503,38.603177,32.000016,36840.000000
2,-91.636505,38.491996,32.000016,36900.000000
2,-91.727353,38.380812,32.000016,36960.000000
2,-91.818049,38.269624,32.000016,37020.000000
2,-91.908592,38.158431,32.000016,37080.000000
2,-91.998982,38.047233,32.000016,37140.000000
2,-92.089219,37.936030,32.000016,37200.000000
2,-92.179304,37.824821,32.000016,37260.000000
2,-92.269236,37.713606,32.000016,37320.000000
2,-92.359014,37.602384,32.000016,37380.000000
2,-92.448639,37.491154,32.000016,37440.000000
2,-92.538109,37.379916,32.000016,37500.000000
2,-92.627423,37.268669,32.000016,37560.000000
2,-92.716581,37.157411,32.000016,37620.000000
2,-92.805580,37.046143,32.000016,37680.000000
2,-92.894418,36.934861,32.000016,37740.000000
2,-92.983093,36.823564,32.000016,37800.000000
3,-102.360323,37.307542,37.000016,34380.000000
3,-102.215153,37.338969,37.000016,34440.000000
3,-102.069923,37.370396,37.000016,34500.000000
3,-101.924631,37.401825,37.000016,34560.000000
3,-101.779278,37.433255,37.000016,34620.000000
3,-101.633865,37.464686,37.000016,34680.000000
3,-101.488390,37.496117,37.000016,34740.000000
3,-101.342854,37.527550,37.000016,34800.000000
3,-101.197257,37.558984,37.000016,34860.000000
3,-101.051598,37.590418,37.000016,34920.000000
3,-100.905878,37.621854,37.000016,34980.000000
3,-100.760096,37.653290,37.000016,35040.000000
3,-100.614253,37.684728,37.000016,35100.000000
3,-100.468348,37.716166,37.000016,35160.000000
3,-100.322380,37.747606,37.000016,35220.000000
3,-100.176351,37.779046,37.000016,35280.000000
3,-100.030260,37.810488,37.000016,35340.000000
3,-99.884107,37.841930,37.000016,35400.000000
3,-99.737891,37.873374,37.000016,35460.000000
3,-99.591613,37.904819,37.000016,35520.000000
3,-99.445272,37.936264,37.000016,35580.000000
3,-99.298869,37.967711,37.000016,35640.000000
3,-99.152403,37.999159,37.000016,35700.000000
3,-99.005875,38.030608,37.000016,35760.000000
3,-98.859283,38.062057,37.000016,35820.000000
3,-98.712629,38.093508,37.000016,35880.000000
3,-98.565911,38.124960,37.000016,35940.000000
3,-98.419130,38.156414,37.000016,36000.000000
3,-98.272286,38.187868,37.000016,36060.000000
3,-98.125379,38.219323,37.000016,36120.000000
3,-97.978408,38.250779,37.000016,36180.000000
3,-97.831374,38.282237,37.000016,36240.000000
3,-97.684276,38.313695,37.000016,36300.000000
3,-97.537114,38.345155,37.000016,36360.000000
3,-97.389889,38.376616,37.000016,36420.000000
3,-97.242599,38.408078,37.000016,36480.000000
3,-97.095245,38.439541,37.000016,36540.000000
3,-96.947828,38.471005,37.000016,36600.000000
3,-96.800346,38.502471,37.000016,36660.000000
3,-96.652799,38.533937,37.000016,36720.000000
3,-96.505188,38.565405,37.000016,36780.000000
3,-96.357513,38.596874,37.000016,36840.000000
3,-96.209773,38.628344,37.000016,36900.000000
3,-96.061968,38.659815,37.000016,36960.000000
3,-95.914098,38.691288,37.000016,37020.000000
3,-95.766163,38.722762,37.000016,37080.000000
3,-95.618164,38.754237,37.000016,37140.000000
3,-95.470099,38.785713,37.000016,37200.000000
3,-95.321968,38.817190,37.000016,37260.000000
3,-95.173773,38.848669,37.000016,37320.000000
3,-95.025512,38.880149,37.000016,37380.000000
3,-94.877185,38.911630,37.000016,37440.000000
3,-94.728793,38.943113,37.000016,37500.000000
3,-94.580335,38.974597,37.000016,37560.000000
3,-94.431811,39.006082,37.000016,37620.000000
3,-94.283221,39.037568,37.000016,37680.000000
3,-94.134565,39.069056,37.000016,37740.000000
3,-93.985843,39.100545,37.000016,37800.000000
3,-93.837054,39.132036,37.000016,37860.000000
3,-93.688199,39.163527,37.000016,37920.000000
3,-93.539278,39.195021,37.000016,37980.000000
3,-93.390290,39.226515,37.000016,38040.000000
3,-93.241235,39.258011,37.000016,38100.000000
3,-93.092113,39.289508,37.000016,38160.000000
3,-92.942925,39.321007,37.000016,38220.000000
3,-92.793669,39.352507,37.000016,38280.000000
3,-92.644347,39.384009,37.000016,38340.000000
3,-92.494957,39.415512,37.000016,38400.000000
3,-92.345500,39.447017,37.000016,38460.000000
3,-92.195975,39.478523,37.000016,38520.000000
3,-92.046383,39.510030,37.000016,38580.000000
3,-91.896723,39.541540,37.000016,38640.000000
3,-91.746996,39.573050,37.000016,38700.000000
3,-91.597200,39.604562,37.000016,38760.000000
3,-91.447337,39.636076,37.000016,38820.000000
3,-91.297406,39.667591,37.000016,38880.000000
3,-91.147406,39.699108,37.000016,38940.000000
3,-90.997338,39.730627,37.000016,39000.000000
3,-90.847202,39.762147,37.000016,39060.000000
3,-90.696997,39.793669,37.000016,39120.000000
3,-90.546724,39.825192,37.000016,39180.000000
3,-90.396382,39.856718,37.000016,39240.000000
3,-90.245971,39.888244,37.000016,39300.000000
3,-90.095492,39.919773,37.000016,39360.000000
3,-89.944943,39.951303,37.000016,39420.000000
3,-89.794325,39.982835,37.000016,39480.000000
4,-95.495714,35.995170,37.000020,35820.000000
4,-95.384585,36.084999,37.000016,35880.000000
4,-95.273565,36.175019,37.000010,35940.000000
4,-95.162178,36.264847,37.000016,36000.000000
4,-95.050262,36.354357,37.000016,36060.000000
4,-94.938555,36.444140,37.000008,36120.000000
4,-94.826069,36.533402,37.000016,36180.000000
4,-94.713255,36.622506,37.000016,36240.000000
4,-94.600409,36.711692,37.000016,36300.000000
4,-94.487612,36.801024,37.000016,36360.000000
4,-94.380953,36.894851,37.000850,36420.000000
4,-94.283905,36.995419,37.000016,36480.000000
4,-94.187125,37.096229,36.999883,36540.000000
4,-94.088254,37.195834,37.000016,36600.000000
4,-93.989089,37.295339,37.000016,36660.000000
4,-93.889856,37.394886,37.000016,36720.000000
4,-93.790575,37.494486,37.000016,36780.000000
4,-93.691287,37.594168,37.000016,36840.000000
4,-93.592149,37.694026,37.000010,36900.000000
4,-93.492070,37.793383,37.000016,36960.000000
4,-93.391443,37.892485,37.000016,37020.000000
4,-93.290803,37.991666,37.000016,37080.000000
4,-93.190296,38.091017,37.000010,37140.000000
4,-93.089075,38.190008,37.000016,37200.000000
4,-92.987306,38.288745,37.000016,37260.000000
4,-92.885495,38.387544,37.000016,37320.000000
4,-92.783710,38.486449,37.000016,37380.000000
4,-92.681928,38.585444,37.000030,37440.000000
4,-92.578892,38.683742,37.000016,37500.000000
4,-92.475765,38.782074,37.000016,37560.000000
4,-92.372589,38.880467,37.000016,37620.000000
4,-92.269425,38.978959,37.000016,37680.000000
4,-92.166374,39.077614,37.000035,37740.000000
4,-92.047787,39.164235,37.000960,37800.000000
4,-91.916104,39.240138,37.000016,37860.000000
4,-91.784310,39.316074,37.000016,37920.000000
4,-91.652427,39.392069,37.000016,37980.000000
4,-91.520479,39.468146,37.000016,38040.000000
4,-91.388531,39.544371,37.000010,38100.000000
4,-91.256443,39.620603,37.000016,38160.000000
4,-91.123750,39.696366,37.000010,38220.000000
4,-91.001332,39.780525,37.004410,38280.000000
4,-90.901689,39.881902,36.342742,38340.000000
4,-90.801519,39.984133,34.057273,38400.000000
4,-90.699196,40.086934,31.607328,38460.000000
4,-90.594717,40.189179,29.483521,38520.000000
4,-90.492912,40.289053,27.666140,38580.000000
5,-95.071268,40.231973,33.000010,33060.000000
5,-94.923940,40.238320,33.000010,33120.000000
5,-94.776599,40.244667,33.000010,33180.000000
5,-94.629243,40.251015,33.000010,33240.000000
5,-94.481874,40.257362,33.000010,33300.000000
5,-94.334491,40.263710,33.000010,33360.000000
5,-94.187094,40.270058,33.000010,33420.000000
5,-94.039683,40.276406,33.000010,33480.000000
5,-93.892258,40.282754,33.000010,33540.000000
5,-93.744819,40.289103,33.000010,33600.000000
5,-93.597367,40.295451,33.000010,33660.000000
5,-93.449900,40.301800,33.000010,33720.000000
5,-93.302420,40.308149,33.000010,33780.000000
5,-93.154925,40.314499,33.000010,33840.000000
5,-93.007417,40.320849,33.000010,33900.000000
5,-92.859895,40.327198,33.000010,33960.000000
5,-92.712359,40.333548,33.000010,34020.000000
5,-92.564809,40.339899,33.000010,34080.000000
5,-92.417245,40.346249,33.000010,34140.000000
5,-92.269667,40.352600,33.000010,34200.000000
5,-92.122076,40.358951,33.000010,34260.000000
5,-91.974470,40.365303,33.000010,34320.000000
5,-91.826850,40.371654,33.000010,34380.000000
5,-91.679217,40.378006,33.000010,34440.000000
5,-91.531569,40.384358,33.000010,34500.000000
5,-91.383908,40.390710,33.000010,34560.000000
5,-91.236232,40.397063,33.000010,34620.000000
5,-91.088543,40.403416,33.000010,34680.000000
5,-90.940840,40.409769,33.000010,34740.000000
5,-90.793122,40.416122,33.000010,34800.000000
6,-102.330326,37.389910,37.000016,31320.000000
6,-102.183401,37.439277,37.000016,31380.000000
6,-102.036451,37.488782,37.000016,31440.000000
6,-101.889369,37.538220,37.000016,31500.000000
6,-101.742002,37.587312,36.999984,31560.000000
6,-101.594083,37.635544,37.000016,31620.000000
6,-101.446045,37.683732,37.000016,31680.000000
6,-101.297928,37.731957,37.000016,31740.000000
6,-101.149738,37.780226,37.000016,31800.000000
6,-101.001483,37.828557,37.000016,31860.000000
6,-100.853182,37.876986,37.000016,31920.000000
6,-100.704943,37.925718,37.000016,31980.000000
6,-100.556904,37.975007,37.000016,32040.000000
6,-100.408779,38.024325,37.000016,32100.000000
6,-100.260566,38.073665,37.000016,32160.000000
6,-100.112266,38.123029,37.000016,32220.000000
6,-99.963881,38.172423,37.000016,32280.000000
6,-99.815413,38.221851,37.000016,32340.000000
6,-99.666867,38.271322,37.000016,32400.000000
6,-99.518251,38.320851,37.000016,32460.000000
6,-99.369581,38.370469,37.000016,32520.000000
6,-99.220922,38.420294,37.000010,32580.000000
6,-99.071112,38.468159,37.000016,32640.000000
6,-98.920902,38.515457,37.000016,32700.000000
6,-98.770603,38.562774,37.000016,32760.000000
